feature,mean_importance
Type of Admission,-0.0010520687575435006
Payment Typology 2,-6.0377963510760416e-05
Gender,0.0007799883453191824
Race,0.0013939834717813238
Ethnicity,0.001691307992471125
APR Severity of Illness Description,0.003374938450811782
Payment Typology 1,0.0035538983629199382
APR Risk of Mortality,0.003915731793308464
APR DRG Code,0.004007402432577667
Payment Typology 3,0.004197424328144605
CCS Procedure Description,0.00430929520933343
Facility Name,0.005061595970248056
CCS Diagnosis Description,0.005475395389633519
Health Service Area,0.005657394230148227
Facility Id,0.009508208197021728
CCS Procedure Code,0.009912176186866028
Hospital County,0.011375461348855632
Abortion Edit Indicator,0.011824374247869984
Birth Weight,0.014115065020744133
Age Group,0.01578214058116284
APR Severity of Illness Code,0.01777360069511883
APR MDC Description,0.01797357468853329
Patient Disposition,0.018226841462661347
APR DRG Description,0.021950434923808725
APR MDC Code,0.027093263425888536
Zip Code - 3 digits,0.027480731752148102
Operating Certificate Number,0.027500332825685002
Emergency Department Indicator,0.0493828421345381
CCS Diagnosis Code,0.06208736173119189
APR Medical Surgical Description,0.08075720167906472
Total Charges,0.3900181729377862
Total Costs,0.5602325043680538
